"Urban Area","2021 impact rank (2020 rank)","Hours lost in congestion (rank 2020)","Change from pre-covid","Last Mile speed (mph)"
"Toledo OH","893 (884)","5 (908)",-0.15,22
"Charlottesville VA","894 (304)","6 (897)",-0.6,20
"Buford GA","895 (867)","7 (877)",0.01,27
"Hampton VA","896 (840)","6 (898)",-0.31,30
"Akron OH","897 (809)","5 (909)",-0.51,26
"El Paso TX","898 (915)","5 (910)",-0.7,26
"High Point NC","899 (881)","6 (899)",-0.21,26
"Derby CT","900 (515)","7 (878)",-0.61,31
"Lancaster CA","901 (857)","5 (911)",-0.34,36
"New London CT","903 (948)","6 (900)",0.53,21
"Lansing MI","905 (978)","5 (912)",0.56,21
"Sherman TX","906 (956)","5 (913)",9.34,33
"Fort Smith AR","907 (938)","5 (914)",-0.19,28
"Patchogue NY","908 (669)","6 (901)",-0.43,28
"Erie PA","909 (871)","5 (915)",-0.78,18
"Brownsville TX","910 (737)","4 (924)",7.77,15
"Binghamton NY","911 (832)","5 (916)",3.58,24
"Manassas VA","916 (219)","5 (917)",-0.73,24
"Rohnert Park CA","918 (280)","5 (918)",-0.71,22
"Dayton OH","919 (747)","4 (925)",-0.52,22
"Atco NJ","920 (879)","5 (919)",-0.45,23
"Columbus GA","921 (887)","4 (926)",-0.63,25
"Macon GA","922 (528)","4 (927)",-0.59,28
"Tulsa OK","923 (939)","4 (928)",0.2,22
"Bristol TN","924 (1006)","5 (920)",8.64,33
"Joliet IL","925 (706)","5 (921)",-0.53,24
"Jackson MS","926 (603)","4 (929)",-0.65,27
"Little Rock AR","927 (625)","3 (939)",-0.42,36
"Rochester NH","928 (941)","4 (930)",0.5,39
"Peekskill NY","929 (493)","5 (922)",-0.7,22
"Portland ME","930 (178)","3 (940)",-0.86,20
"Greensboro NC","931 (675)","3 (941)",-0.44,27
"Baytown TX","932 (909)","4 (931)",3.02,30
"Delmar DE","933 (933)","6 (902)",-0.24,37
"Beaumont TX","934 (749)","3 (942)",0.16,26
"Lynchburg VA","935 (468)","4 (932)",-0.13,29
"Pottstown PA","937 (982)","4 (933)",0.41,31
"Annapolis MD","938 (652)","4 (934)",-0.35,20
"Canton OH","940 (872)","3 (943)",-0.48,26
"Reading PA","941 (934)","3 (944)",-0.23,37
"Parkersburg WV","942 (953)","3 (945)",-0.31,28
"Delano CA","943 (935)","4 (935)",-0.75,23
"Easton PA","944 (973)","4 (936)",2.76,29
"Ann Arbor MI","945 (170)","3 (946)",-0.91,22
"Harrisburg PA","946 (362)","3 (947)",-0.8,24
"Waco TX","947 (919)","3 (948)",-0.06,46
"Peoria IL","948 (667)","3 (949)",4.37,27
"Kennewick-Pasco-Richland WA","950 (985)","3 (950)",4.48,28
"Montgomery AL","952 (414)","3 (951)",-0.74,28
"Butte MT","953 (744)","3 (952)",0.04,22
